	sequences per sample	iteration	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
alpha_rarefaction_29_0.txt	29	0	21.0	22.0	13.0	20.0	20.0	14.0	19.0	20.0	18.0	18.0	21.0	17.0	16.0	4.0	7.0	10.0	9.0	18.0	18.0	22.0	24.0	7.0	19.0	20.0	6.0	9.0	14.0	13.0	24.0	22.0	18.0	18.0	5.0	6.0	10.0	18.0	13.0	11.0	3.0	21.0	15.0	7.0	8.0	4.0	14.0	21.0	24.0	13.0	8.0	5.0	11.0	3.0	5.0	18.0	8.0	11.0	5.0	6.0	12.0	5.0	11.0	9.0	4.0	14.0	20.0	18.0	8.0	6.0	8.0	10.0	4.0	6.0	7.0	19.0	12.0	5.0	8.0	17.0	9.0	6.0	7.0	8.0	4.0	6.0	9.0	17.0	23.0	4.0	10.0	5.0	8.0	7.0
alpha_rarefaction_29_1.txt	29	1	20.0	21.0	17.0	23.0	19.0	16.0	18.0	22.0	18.0	18.0	21.0	23.0	12.0	9.0	5.0	11.0	8.0	18.0	19.0	26.0	23.0	12.0	15.0	18.0	8.0	15.0	10.0	6.0	19.0	20.0	19.0	16.0	8.0	6.0	7.0	24.0	14.0	8.0	8.0	18.0	14.0	10.0	9.0	7.0	10.0	17.0	21.0	15.0	9.0	3.0	5.0	4.0	7.0	14.0	10.0	8.0	5.0	7.0	12.0	7.0	11.0	10.0	9.0	13.0	19.0	19.0	6.0	8.0	6.0	9.0	3.0	6.0	6.0	20.0	14.0	6.0	5.0	18.0	7.0	7.0	3.0	3.0	3.0	6.0	11.0	20.0	21.0	4.0	7.0	7.0	5.0	6.0
alpha_rarefaction_29_2.txt	29	2	17.0	22.0	12.0	23.0	22.0	12.0	17.0	23.0	11.0	18.0	24.0	24.0	13.0	12.0	8.0	12.0	7.0	20.0	18.0	22.0	24.0	8.0	19.0	19.0	6.0	10.0	6.0	13.0	18.0	18.0	21.0	17.0	7.0	6.0	8.0	21.0	11.0	8.0	4.0	25.0	15.0	5.0	10.0	5.0	10.0	21.0	21.0	6.0	7.0	7.0	6.0	5.0	6.0	15.0	8.0	7.0	7.0	8.0	9.0	4.0	13.0	9.0	3.0	19.0	20.0	16.0	6.0	7.0	7.0	4.0	7.0	8.0	7.0	20.0	12.0	7.0	5.0	15.0	7.0	7.0	4.0	4.0	3.0	8.0	7.0	19.0	22.0	4.0	7.0	3.0	2.0	8.0
alpha_rarefaction_29_3.txt	29	3	16.0	21.0	14.0	21.0	24.0	15.0	19.0	19.0	16.0	16.0	19.0	19.0	14.0	8.0	7.0	13.0	8.0	18.0	16.0	24.0	20.0	7.0	18.0	20.0	9.0	7.0	7.0	9.0	20.0	19.0	18.0	16.0	5.0	6.0	8.0	18.0	12.0	9.0	6.0	21.0	16.0	8.0	10.0	7.0	10.0	23.0	18.0	11.0	9.0	10.0	9.0	4.0	4.0	14.0	10.0	6.0	4.0	9.0	8.0	6.0	11.0	13.0	5.0	17.0	21.0	19.0	6.0	4.0	10.0	5.0	8.0	5.0	7.0	22.0	12.0	5.0	5.0	15.0	7.0	7.0	5.0	2.0	6.0	6.0	6.0	17.0	21.0	8.0	8.0	6.0	5.0	8.0
alpha_rarefaction_29_4.txt	29	4	20.0	26.0	14.0	22.0	21.0	15.0	21.0	18.0	17.0	16.0	18.0	18.0	11.0	9.0	7.0	8.0	9.0	20.0	18.0	23.0	23.0	8.0	16.0	21.0	6.0	7.0	11.0	7.0	19.0	19.0	19.0	19.0	9.0	8.0	8.0	23.0	10.0	5.0	6.0	20.0	17.0	7.0	8.0	5.0	8.0	19.0	21.0	11.0	8.0	4.0	5.0	3.0	6.0	16.0	5.0	7.0	9.0	6.0	5.0	4.0	17.0	10.0	8.0	17.0	23.0	13.0	6.0	5.0	12.0	9.0	7.0	5.0	5.0	20.0	9.0	5.0	4.0	20.0	7.0	5.0	7.0	5.0	5.0	8.0	10.0	19.0	20.0	8.0	11.0	9.0	4.0	7.0
alpha_rarefaction_29_5.txt	29	5	18.0	20.0	19.0	19.0	17.0	18.0	19.0	22.0	14.0	20.0	19.0	18.0	10.0	11.0	5.0	13.0	9.0	17.0	17.0	24.0	18.0	8.0	20.0	16.0	5.0	8.0	7.0	9.0	20.0	20.0	15.0	20.0	7.0	8.0	8.0	24.0	14.0	7.0	6.0	21.0	15.0	9.0	7.0	9.0	11.0	18.0	19.0	15.0	7.0	6.0	8.0	6.0	5.0	18.0	9.0	10.0	7.0	7.0	10.0	7.0	12.0	9.0	9.0	15.0	21.0	21.0	5.0	9.0	6.0	10.0	4.0	7.0	6.0	21.0	11.0	9.0	10.0	15.0	7.0	4.0	5.0	4.0	6.0	6.0	7.0	15.0	21.0	3.0	8.0	8.0	4.0	8.0
alpha_rarefaction_29_6.txt	29	6	15.0	21.0	10.0	18.0	22.0	12.0	18.0	22.0	18.0	16.0	23.0	20.0	13.0	11.0	6.0	12.0	6.0	17.0	14.0	27.0	22.0	8.0	23.0	15.0	7.0	8.0	7.0	7.0	21.0	20.0	21.0	17.0	8.0	7.0	8.0	21.0	7.0	6.0	5.0	23.0	15.0	5.0	12.0	4.0	11.0	20.0	18.0	12.0	6.0	8.0	9.0	3.0	8.0	14.0	8.0	4.0	10.0	8.0	9.0	5.0	11.0	3.0	5.0	19.0	17.0	17.0	7.0	7.0	6.0	5.0	6.0	5.0	10.0	15.0	10.0	5.0	6.0	19.0	10.0	9.0	9.0	2.0	6.0	4.0	6.0	21.0	20.0	7.0	10.0	4.0	4.0	6.0
alpha_rarefaction_29_7.txt	29	7	16.0	21.0	15.0	19.0	21.0	13.0	19.0	18.0	15.0	17.0	20.0	17.0	15.0	7.0	5.0	13.0	14.0	16.0	23.0	24.0	20.0	6.0	18.0	18.0	7.0	8.0	7.0	9.0	18.0	14.0	20.0	14.0	10.0	7.0	7.0	23.0	12.0	8.0	7.0	21.0	20.0	9.0	9.0	6.0	8.0	15.0	22.0	13.0	8.0	7.0	8.0	5.0	10.0	14.0	6.0	4.0	9.0	10.0	7.0	7.0	12.0	9.0	8.0	18.0	14.0	19.0	6.0	8.0	8.0	9.0	6.0	6.0	7.0	18.0	17.0	5.0	5.0	15.0	7.0	6.0	6.0	3.0	5.0	11.0	9.0	17.0	17.0	6.0	10.0	8.0	3.0	3.0
alpha_rarefaction_29_8.txt	29	8	17.0	21.0	15.0	20.0	22.0	14.0	19.0	19.0	19.0	14.0	19.0	20.0	10.0	9.0	4.0	15.0	12.0	17.0	18.0	24.0	19.0	6.0	23.0	15.0	7.0	9.0	10.0	9.0	19.0	24.0	24.0	16.0	8.0	4.0	8.0	21.0	9.0	9.0	5.0	16.0	15.0	11.0	11.0	7.0	14.0	20.0	20.0	7.0	8.0	7.0	9.0	4.0	8.0	19.0	8.0	5.0	10.0	7.0	9.0	9.0	14.0	9.0	7.0	14.0	24.0	18.0	5.0	5.0	6.0	7.0	5.0	7.0	7.0	20.0	16.0	7.0	4.0	15.0	6.0	8.0	7.0	5.0	4.0	5.0	11.0	20.0	18.0	8.0	8.0	7.0	4.0	9.0
alpha_rarefaction_29_9.txt	29	9	17.0	22.0	12.0	17.0	22.0	16.0	19.0	22.0	16.0	19.0	22.0	21.0	11.0	7.0	8.0	10.0	7.0	20.0	12.0	24.0	26.0	9.0	18.0	15.0	6.0	12.0	10.0	10.0	20.0	18.0	21.0	16.0	8.0	9.0	6.0	24.0	10.0	6.0	3.0	17.0	16.0	7.0	9.0	5.0	9.0	19.0	19.0	13.0	6.0	6.0	10.0	4.0	7.0	19.0	5.0	3.0	7.0	7.0	7.0	9.0	11.0	14.0	6.0	16.0	21.0	13.0	4.0	5.0	9.0	6.0	7.0	5.0	10.0	19.0	12.0	5.0	3.0	19.0	11.0	5.0	3.0	4.0	4.0	7.0	7.0	20.0	18.0	7.0	8.0	5.0	4.0	9.0
