	sequences per sample	iteration	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
alpha_rarefaction_29_0.txt	29	0	3.12713	3.6852	1.65818	2.78315	3.21463	2.42582	2.52122	3.08827	2.40128	2.63533	3.34887	2.83497	3.33066	0.98966	1.84556	2.78337	1.75064	2.42114	2.81522	3.15414	3.9696	1.28959	2.78313	3.43669	1.78045	2.05812	2.86591	1.84394	3.42243	3.24822	2.68851	2.40588	1.1523	2.09817	1.92711	2.94599	2.4731	2.15677	0.35971	3.24568	2.43355	1.00762	2.0985	1.26579	2.62041	2.88606	3.06933	2.94146	1.38322	1.57503	1.80102	0.29643	1.24221	3.36193	1.76925	2.16989	1.34655	1.35817	1.95518	0.94954	2.14887	1.85306	1.11919	1.98441	2.74282	2.49715	1.36684	0.85048	1.97044	2.16633	1.07936	1.37113	1.12487	2.11656	1.53539	1.02021	1.1074	2.45345	1.55538	1.32552	1.63294	1.43474	0.90634	1.49216	1.52338	2.42354	3.04383	0.78763	2.31872	1.49071	1.42027	1.46854
alpha_rarefaction_29_1.txt	29	1	3.24507	4.00846	2.31181	2.94255	3.02951	2.32635	2.72745	3.618	2.15262	2.06694	2.79177	3.33563	2.36644	1.15408	1.18605	2.7856	1.8929	3.07963	3.61683	4.11121	3.46004	2.35229	1.79115	3.41009	2.08837	2.57055	2.15463	1.5902	2.78907	3.05559	2.47124	2.18492	1.7277	1.58181	1.75689	3.5317	3.04797	2.17059	1.3097	2.42315	2.68103	1.54602	2.06385	1.6968	1.98476	2.95322	3.35316	2.58311	1.76787	0.88396	1.64259	0.98853	1.57877	2.32305	1.86514	1.46545	0.98335	0.92838	2.6053	2.01489	2.21022	1.71851	1.77041	1.98597	2.78897	3.09187	1.49947	1.4444	1.653	2.34568	0.69346	1.29851	1.59392	2.34527	1.73841	0.83243	1.35874	2.80714	1.85874	1.40817	0.7262	0.68859	0.79813	1.36457	2.29558	2.72522	3.11823	0.93138	1.85448	1.30594	1.48045	1.75966
alpha_rarefaction_29_2.txt	29	2	2.65497	3.30395	2.04773	2.88664	3.43589	2.83061	2.86585	4.01191	1.51502	2.2895	3.79304	2.78248	1.93268	2.03532	1.20558	2.86867	1.40411	2.21899	2.81014	3.7539	4.26342	1.48141	2.4311	3.1433	1.95286	2.22873	1.09388	1.74708	2.80813	3.17968	3.29164	2.18992	2.02423	1.32929	2.08673	2.87118	2.24919	1.81274	1.02007	3.70757	2.54279	1.08302	2.7891	0.96299	2.39783	2.62465	3.09153	1.41408	1.70333	1.11345	1.37103	0.92857	1.5525	2.63348	1.36907	1.53094	1.408	0.91048	1.89635	0.78584	2.49013	1.68922	1.37459	3.10049	3.02045	2.49359	1.48886	1.35903	1.47475	1.23796	1.45089	1.36657	2.47448	2.92017	1.87344	1.55409	1.29237	1.88762	1.52493	1.20379	0.64607	0.95798	0.71608	1.28999	1.066	3.0543	3.38687	1.00492	1.77754	1.38431	0.57276	1.66951
alpha_rarefaction_29_3.txt	29	3	2.84883	3.84573	2.17471	2.55389	3.66387	2.223	3.27392	2.75193	2.30421	2.61342	2.37342	2.60411	2.47186	1.85981	1.70711	1.79553	1.58559	2.32902	2.54212	3.24013	3.21757	1.62447	2.65079	3.55398	1.41376	1.36865	1.40314	1.87725	2.84953	2.54952	2.7491	1.91769	1.01657	1.55698	2.18227	2.3226	2.08101	1.89437	1.58499	2.77584	2.61229	1.04125	2.08723	1.10745	1.88301	3.56861	2.72601	2.30449	1.9735	2.1923	2.00443	1.01161	0.88411	2.17226	1.60706	1.60341	0.99998	1.74692	1.69474	1.22996	1.95992	1.87789	1.5713	2.15939	2.87841	3.10674	1.65966	0.70814	1.95683	1.20186	1.592	1.18331	2.35348	3.04734	1.53805	1.00184	1.15795	2.4799	1.38511	1.77284	1.24153	0.29629	1.62923	1.27728	1.57034	2.52409	3.04137	1.57054	1.53661	1.54248	0.70309	1.54325
alpha_rarefaction_29_4.txt	29	4	3.37786	3.64705	2.52323	2.73487	3.50211	2.47539	2.9048	3.24791	2.54006	1.94066	2.86607	2.27684	1.95986	2.18587	1.55365	1.3332	2.09198	2.32436	2.97674	3.83158	3.04598	2.07116	2.20675	3.07174	1.43031	1.53873	1.98974	1.66753	3.11229	3.05018	2.4869	2.7554	2.24416	2.4216	1.74966	3.5589	2.46573	0.79416	1.01805	2.31935	2.24523	0.96705	1.90106	1.20416	2.02762	3.33805	3.47853	3.02593	1.51265	1.06688	0.73199	0.8647	1.04423	2.65753	1.06676	1.82074	1.78551	1.06467	1.01786	1.38462	2.82066	1.69138	2.19432	2.67621	2.45568	1.77689	1.59518	0.93064	2.17445	1.57615	1.65692	1.21567	1.34748	2.8878	1.45976	0.82694	0.95495	3.10384	0.84473	1.29957	1.71311	1.14714	0.92945	1.80911	2.10418	2.49246	2.97829	1.57064	2.54001	1.66268	0.84768	1.07376
alpha_rarefaction_29_5.txt	29	5	2.55546	3.12075	2.79265	2.66506	2.83037	2.3937	2.49288	2.81327	1.96002	2.75387	3.80961	2.70537	2.44426	2.01576	1.35684	2.41774	2.15172	2.8549	3.07927	3.32007	2.45164	1.65059	2.49128	3.19371	1.76773	1.85752	1.38415	1.5193	3.36826	3.49338	2.49249	2.27149	1.55333	2.05547	1.99716	3.02612	2.64409	1.93948	0.94139	3.03464	2.75073	1.26719	1.9287	1.85688	1.32613	2.51597	3.427	2.983	1.53142	1.99415	1.87658	1.65129	0.95679	3.32872	2.17869	2.06349	1.05789	1.17725	1.73874	1.7141	1.74937	1.70212	1.67895	2.29068	2.51951	2.81344	1.10934	1.48988	1.51157	1.77081	1.10427	1.17043	1.46486	2.66204	1.52617	2.07134	1.25029	2.51704	1.92076	1.3449	1.24153	1.02007	0.88508	1.34976	1.46634	2.20747	2.86303	0.75068	1.72339	1.77743	0.95109	1.84938
alpha_rarefaction_29_6.txt	29	6	2.60425	3.34355	1.29996	2.00175	3.69343	1.84632	2.49792	3.05846	2.18271	2.41438	3.07123	3.17501	2.21918	2.45445	1.70164	2.43743	1.5877	3.2345	1.99718	4.52205	3.86948	1.48362	3.3041	2.76679	1.61338	1.70648	2.0348	2.05941	2.74025	2.7593	2.80235	3.01641	1.57613	1.55783	1.82798	3.07231	1.48364	1.37404	1.02021	3.20594	2.13074	1.04656	1.93033	0.76685	2.17242	3.15114	2.36309	2.67017	1.19524	1.89948	1.43676	0.66873	1.81059	2.1213	1.46934	0.76518	1.74508	1.25426	1.85633	0.97633	2.31447	1.27501	1.61768	2.2898	2.10021	2.36648	1.8723	1.43489	1.33815	1.20542	1.55981	1.25741	2.58397	2.07952	1.31464	0.85277	0.91618	2.88826	1.41686	1.36796	1.32933	0.4999	1.2407	1.26276	1.42681	3.05385	2.89406	1.47751	2.5645	1.27407	1.09978	1.76
alpha_rarefaction_29_7.txt	29	7	2.58702	3.58971	2.59551	2.63414	3.5885	2.50604	2.65135	2.51646	2.53347	2.21138	2.78241	2.05783	2.92696	1.35118	1.16638	2.14009	1.88565	2.47618	2.91908	3.81945	3.12631	1.49023	1.73054	2.7074	2.17549	1.38101	1.26956	1.64273	2.71631	3.00983	4.19697	1.83367	1.88482	1.26869	1.85098	3.23035	2.9062	1.77452	1.33209	2.72354	2.97091	1.44252	2.47309	0.7728	1.62688	3.26956	4.01398	2.42339	2.11512	1.39662	1.18993	0.98881	1.8435	2.34592	1.65018	0.77828	1.35071	1.67812	1.33167	1.3763	2.36609	2.12035	2.05995	2.32514	2.34607	2.33507	1.25596	1.16655	2.14474	1.85146	1.27643	1.20104	2.0529	2.16948	2.46818	0.77664	0.82416	2.69375	1.61004	1.38066	1.40953	0.79813	1.38428	1.94487	2.09675	2.21746	2.78728	0.98693	2.08734	1.35298	0.68859	0.58771
alpha_rarefaction_29_8.txt	29	8	2.59743	3.22328	2.27496	2.58781	3.95253	2.30056	2.72469	2.82911	2.27224	2.14459	3.09079	3.21532	2.35254	2.14166	0.70154	2.13131	2.71347	2.97872	3.50594	2.95291	2.68724	0.8095	2.70795	2.03282	1.83112	1.28262	1.50006	2.39716	3.1756	3.68969	3.11755	1.90759	2.00781	0.8999	2.48172	3.65472	2.2838	2.20928	1.13445	3.00995	2.08582	1.62423	2.58823	1.2754	2.27312	3.85254	3.21933	1.94434	1.34189	1.23533	1.78379	1.15474	1.83406	2.98915	1.28667	1.35846	1.52393	1.0316	1.90892	1.93292	2.05192	1.76125	1.89223	2.24418	3.15346	2.81461	1.81939	0.85213	1.48988	1.18455	0.87385	1.57072	1.87899	2.36825	2.47887	1.66743	0.79095	2.41019	0.78794	1.92056	1.56111	1.00826	0.92978	0.88688	2.15338	3.53561	2.90931	1.51973	1.86446	2.08633	1.33822	1.89219
alpha_rarefaction_29_9.txt	29	9	2.60433	3.5791	2.25282	1.97701	3.48018	3.24142	2.89381	2.75895	2.24955	2.48868	3.07882	3.05283	1.84367	1.43906	1.70673	1.78871	2.00118	3.26771	2.08921	4.03299	3.82787	1.75069	2.36603	2.21484	1.26225	2.2172	1.91332	1.6951	3.24008	2.96665	3.20867	2.0331	1.73165	2.62355	1.1648	4.07095	1.77491	1.47566	0.95667	2.82162	2.64373	1.38939	1.43578	0.98578	1.85595	2.95505	2.33458	2.93878	1.05655	1.43818	1.88302	1.00634	1.3058	3.55191	1.05853	0.7453	1.3016	1.60827	1.5861	1.70637	1.63656	2.43701	1.88952	2.32762	3.02515	2.14467	1.18386	0.92444	1.76787	1.0732	1.50681	1.10939	2.14731	3.26316	1.89008	0.86055	0.64687	2.67277	1.72266	1.07044	0.79907	0.80816	1.04082	1.94676	1.61449	2.87287	2.66066	1.54045	1.6713	0.74621	0.88242	1.48811
