	K3.H	K3.Z	M2.Middle.L	K3.A	K3.V	K3.K	K3.B	K3.C	M2.Thumb.L	M2.Pinky.L	K3.E	M2.Middle.R	M3.Pinky.L	K1.Space	K1.N	K1.Shift.R	M3.Pinky.R	K3.Enter	K3.U	K3.Q	K3.Space	K1.Y	M2.Index.R	K3.G	K1.G	M3.Thumb.R	K1.R	K1.M	K3.J	K3.Y	K3.T	M2.Ring.R	K1.W	K1.T	M3.Middle.L	K3.I	M3.Ring.R	K1.B	K2.G	K3.W	K3.M	K2.B	K1.P	K2.N	M3.Index.R	K3.L	K3.F	K1.L	K1.H	K1.V	K2.Enter	M3.Ring.L	K1.C	K3.O	K2.F	M9.Middle.R	M9.Ring.R	M9.Thumb.L	K1.Q	K2.Y	M3.Middle.R	M9.Thumb.R	M3.Thumb.L	M2.Pinky.R	K3.Shift.R	K3.Shift.L	K2.E	M9.Pinky.R	K1.X	M9.Ring.L	K2.S	K2.H	K1.E	M2.Thumb.R	M2.Ring.L	K2.C	M9.Index.R	M2.Index.L	K2.V	K2.O	M9.Index.L	K2.W	K2.D	M3.Index.L	M9.Pinky.L	K3.S	K3.D	K2.X	K2.A	K2.P	M9.Middle.L	K2.M
K3.Shift.R	0.1408448	0.24854575	0.2806386	0.1070327	0.13780335	0.17519505	0.08807235	0.269406	0.267646	0.12725215	0.3339234	0.19677965	0.3020785	0.3317067	0.33964615	0.30113065	0.2889085	0.1620701	0.13464465	0.13691625	0.17092145	0.3183662	0.200482	0.1384005	0.33234805	0.3095092	0.28045555	0.3137337	0.1625493	0.16385825	0.12103245	0.1991989	0.31747255	0.3257254	0.3409559	0.1591274	0.27190955	0.3452622	0.34034375	0.18824025	0.18138795	0.3208176	0.32070335	0.33699825	0.2725002	0.16439455	0.15935005	0.34715905	0.33578345	0.34509855	0.3156295	0.355721	0.3569267	0.16697255	0.3248818	0.3442275	0.3377119	0.32254465	0.30517945	0.34534875	0.25441	0.28862495	0.34680315	0.17789515	0.0	0.1533451	0.3542533	0.3442426	0.32657425	0.34225915	0.3395729	0.3326851	0.29945345	0.19139635	0.2857919	0.35093445	0.33858645	0.1809583	0.3238319	0.3416975	0.2896775	0.3675313	0.3385223	0.3319188	0.3304318	0.19183765	0.25569735	0.3489075	0.3569688	0.3636773	0.36179145	0.33250335
K3.Shift.L	0.1367957	0.25799985	0.308022	0.1667417	0.13171095	0.08722785	0.12286855	0.3094001	0.2919271	0.19823335	0.3600886	0.17219425	0.2160192	0.2594744	0.26403685	0.22524205	0.2040588	0.0874785	0.10330615	0.15482115	0.17721165	0.2473819	0.151623	0.12035	0.26275455	0.2287711	0.20764005	0.2396989	0.1063357	0.10809535	0.12159465	0.2068966	0.24296315	0.2509357	0.2566367	0.1585099	0.17974775	0.2689875	0.25911955	0.20569835	0.08754855	0.2455603	0.24655595	0.25690805	0.1952042	0.13666365	0.15929325	0.25916325	0.26539915	0.27193655	0.2392831	0.2782319	0.2835492	0.08623425	0.2417688	0.2587973	0.2579229	0.24190765	0.22933235	0.26326055	0.1917683	0.21213535	0.26799655	0.17060195	0.1533451	0.0	0.273404	0.2626109	0.25797525	0.26372405	0.2533225	0.2528181	0.22752145	0.14649105	0.2961985	0.26988375	0.25778575	0.208671	0.2450886	0.2568308	0.2243717	0.2887054	0.2547442	0.250993	0.2439258	0.19286255	0.30165355	0.2657252	0.2661226	0.2708941	0.28273285	0.25223295
K2.E	0.3422621	0.40330625	0.388134	0.3516201	0.35285995	0.24942885	0.32958545	0.4220797	0.3651313	0.33847075	0.4573344	0.30700815	0.1939413	0.0590756	0.07711475	0.12170785	0.1590417	0.2656788	0.29798555	0.36065785	0.36564165	0.0704709	0.2791758	0.3387098	0.08713885	0.08305	0.13285595	0.0961665	0.3209268	0.28863335	0.30203625	0.2991178	0.08000495	0.1113254	0.1135886	0.3474854	0.21126845	0.0536708	0.04224445	0.32318035	0.24639025	0.0538668	0.09569525	0.04767225	0.1394191	0.29697035	0.32742105	0.15966005	0.10542985	0.05948015	0.0659377	0.0547091	0.0394385	0.24993885	0.0683744	0.0421973	0.0359059	0.06756675	0.10942145	0.05257755	0.1842396	0.08423335	0.05780055	0.24830725	0.3542533	0.273404	0.0	0.0299878	0.08304825	0.04471635	0.0450479	0.0497253	0.09776395	0.31375205	0.3132295	0.03309975	0.03653695	0.3344895	0.0524972	0.0490315	0.2382762	0.035384	0.0434189	0.0657234	0.083204	0.29218485	0.39897535	0.0360408	0.067217	0.0653944	0.03135595	0.06176565
M9.Pinky.R	0.3315313	0.39793545	0.3752889	0.3382566	0.34247805	0.23672605	0.31632455	0.4141036	0.3523186	0.32503175	0.4446699	0.29496365	0.1887649	0.0591863	0.07813445	0.11984975	0.1544086	0.2549302	0.28589425	0.35275235	0.35490165	0.0702307	0.2660642	0.3268628	0.08824565	0.0813297	0.12409765	0.0988725	0.3071151	0.28064945	0.29373815	0.2865652	0.08001465	0.1114841	0.1160313	0.3395713	0.20599865	0.0588347	0.03464525	0.31468575	0.23850105	0.0469193	0.10188065	0.04290015	0.1274398	0.28543265	0.31453925	0.16301735	0.11229155	0.06679215	0.0592942	0.0605229	0.0588064	0.24078575	0.0653559	0.0443786	0.0297389	0.04681905	0.10416685	0.04442475	0.1801914	0.07261035	0.06569405	0.23791805	0.3442426	0.2626109	0.0299878	0.0	0.08280035	0.04406355	0.0445875	0.0500553	0.10076985	0.29757675	0.3021409	0.03368625	0.03359445	0.3203482	0.0416597	0.0510094	0.2278943	0.0416837	0.0475055	0.0678271	0.0736263	0.28467145	0.38758445	0.034919	0.0703534	0.0725276	0.04222275	0.04903335
K1.X	0.29952305	0.393987	0.36454565	0.33714385	0.3306476	0.224208	0.3102705	0.40563025	0.34498955	0.3264348	0.43584465	0.2859344	0.16184365	0.06809735	0.0474657	0.0959804	0.12688245	0.24236635	0.2793212	0.3383739	0.3366354	0.05900945	0.26179265	0.31786625	0.0542103	0.08552775	0.0897142	0.06882925	0.27517225	0.2630912	0.2840848	0.29153315	0.0472043	0.06652305	0.08085285	0.31454605	0.1735499	0.07616295	0.0760147	0.3035484	0.214941	0.06308885	0.057501	0.070076	0.11069255	0.258401	0.3048635	0.1232026	0.0693735	0.0454524	0.07623775	0.08516955	0.07014895	0.2319333	0.06877205	0.07144535	0.07053675	0.0900977	0.0730788	0.0788088	0.14275545	0.0853915	0.0669062	0.2302049	0.32657425	0.25797525	0.08304825	0.08280035	0.0	0.0706164	0.06829945	0.07017095	0.0739844	0.2874361	0.29635295	0.0860481	0.0800778	0.30803125	0.07843365	0.07110515	0.25274445	0.08385515	0.07875675	0.06861885	0.08487865	0.2727081	0.3961519	0.08036375	0.09018835	0.08911305	0.0790619	0.0832844
M9.Ring.L	0.33294335	0.3978335	0.37676075	0.34609185	0.3414531	0.2405002	0.3170658	0.41767255	0.35346545	0.3296059	0.45173065	0.2931719	0.18486635	0.06298795	0.0600679	0.1086818	0.14686105	0.25228415	0.2894214	0.3529409	0.3492417	0.06609855	0.26556175	0.32752185	0.0798158	0.08143245	0.1276858	0.08643625	0.30163775	0.2785048	0.2904487	0.29140905	0.0726869	0.10624215	0.10168545	0.32844045	0.2084587	0.05776945	0.0490144	0.3137701	0.2363297	0.05916745	0.083814	0.0359894	0.12896645	0.2855003	0.3156152	0.1467015	0.0984872	0.0601915	0.07235775	0.05561005	0.04040395	0.2409425	0.06764365	0.04700085	0.03593085	0.0732008	0.0945256	0.0471594	0.18252045	0.0804245	0.05506	0.2355647	0.34225915	0.26372405	0.04471635	0.04406355	0.0706164	0.0	0.04399915	0.05594165	0.088882	0.3020505	0.30499645	0.0526823	0.0557624	0.31841315	0.05950495	0.04929295	0.25278675	0.05682795	0.04978875	0.05752235	0.07118745	0.2777797	0.3986231	0.04385515	0.05793515	0.06402985	0.038329	0.0660033
K2.S	0.3257145	0.38831365	0.3722273	0.3398603	0.33681145	0.23498335	0.31394035	0.413535	0.3514814	0.32486375	0.4379385	0.29243185	0.1846948	0.070658	0.06458895	0.11282985	0.1502795	0.2517052	0.28233115	0.34039985	0.35916855	0.0686731	0.2638219	0.3247035	0.08734835	0.0823704	0.12429855	0.0734527	0.3004472	0.27352175	0.28655605	0.2912512	0.06972045	0.0982497	0.0975957	0.3278356	0.20510015	0.0456207	0.04621425	0.31049765	0.23238675	0.0494713	0.08470635	0.03387385	0.1230045	0.27950865	0.31712955	0.14385605	0.10584935	0.05450495	0.063097	0.0652521	0.0495251	0.23424685	0.0532432	0.0432123	0.0409625	0.06818485	0.08445375	0.04663915	0.176502	0.08169905	0.05002695	0.23807055	0.3395729	0.2533225	0.0450479	0.0445875	0.06829945	0.04399915	0.0	0.0321421	0.07897715	0.29825025	0.2989025	0.04590205	0.04276995	0.3144158	0.0493941	0.0299922	0.2451694	0.0522333	0.033019	0.0559863	0.0610375	0.27516065	0.40097265	0.0363312	0.0531836	0.0527191	0.04760235	0.04904035
K2.H	0.3209517	0.38263365	0.3772368	0.3339073	0.33358975	0.23219995	0.30650365	0.4186158	0.3571619	0.31832685	0.445355	0.29466655	0.1909929	0.062653	0.06710625	0.12123415	0.15358	0.2432893	0.27865825	0.33591125	0.35689855	0.070891	0.2651042	0.3183314	0.08671215	0.0784092	0.12483475	0.0787076	0.295235	0.27046695	0.28480865	0.2858087	0.07104965	0.1057006	0.0976759	0.3210181	0.20424545	0.0594107	0.04269115	0.30288905	0.22318865	0.0427429	0.09099725	0.04470735	0.1205946	0.26949015	0.31902355	0.14265555	0.10990215	0.05965265	0.0480911	0.0705275	0.0577893	0.22596305	0.0439076	0.0501908	0.049761	0.06530745	0.09111295	0.05214065	0.1671413	0.07172855	0.05930985	0.23213345	0.3326851	0.2528181	0.0497253	0.0500553	0.07017095	0.05594165	0.0321421	0.0	0.07421415	0.29725765	0.2940389	0.05114065	0.03856845	0.3087273	0.0445443	0.0355985	0.2454283	0.049118	0.030717	0.0588382	0.071349	0.27128055	0.40427315	0.0422479	0.0675644	0.0620866	0.05491405	0.03833845
K1.E	0.29560465	0.360502	0.35100095	0.31198995	0.3038996	0.2069463	0.2873273	0.39501405	0.33416525	0.2961577	0.42501305	0.2688507	0.15654455	0.08100825	0.0733087	0.0832332	0.13108705	0.22875975	0.2506346	0.3112812	0.3265719	0.06523875	0.24489355	0.30637015	0.0782567	0.08166335	0.111641	0.05298985	0.26779185	0.2405273	0.2570402	0.26079695	0.0602206	0.08103555	0.08667745	0.29205945	0.1955491	0.08577235	0.091507	0.2767511	0.2046275	0.07325245	0.0758384	0.0829884	0.10195515	0.2447609	0.2903715	0.1196433	0.0971799	0.0724445	0.07737235	0.09067365	0.08637015	0.2148489	0.07477695	0.08769765	0.09449515	0.0995338	0.0743135	0.0857851	0.14158695	0.0715246	0.082861	0.2182591	0.29945345	0.22752145	0.09776395	0.10076985	0.0739844	0.088882	0.07897715	0.07421415	0.0	0.2851729	0.27200085	0.0953865	0.0841598	0.28395215	0.09078355	0.08206645	0.26235295	0.10671545	0.07078155	0.07153265	0.09425905	0.2418901	0.3801436	0.09523255	0.10051925	0.09251785	0.1030847	0.0797056
M2.Thumb.R	0.19141035	0.3085241	0.29768955	0.20395365	0.1758331	0.149945	0.168033	0.32660095	0.28980395	0.2100875	0.39283625	0.1260859	0.27214795	0.29793305	0.3083916	0.274813	0.25369035	0.13487235	0.1757208	0.2096392	0.2077172	0.28798255	0.08399355	0.14764415	0.2989672	0.27278565	0.2475344	0.28375065	0.15135425	0.1819592	0.1458908	0.19773965	0.285071	0.29304675	0.30512565	0.20880685	0.2110912	0.30976675	0.2988914	0.2145233	0.1615788	0.28493645	0.2870102	0.299206	0.23637595	0.2079747	0.210041	0.3106045	0.3062203	0.3151001	0.28339425	0.32643065	0.32390895	0.1419528	0.28224235	0.31040865	0.29902695	0.2783083	0.2683642	0.3055852	0.22879085	0.2653779	0.3121452	0.1840328	0.19139635	0.14649105	0.31375205	0.29757675	0.2874361	0.3020505	0.29825025	0.29725765	0.2851729	0.0	0.28353385	0.3127339	0.3020639	0.21396015	0.27495415	0.29663235	0.23933655	0.32517485	0.30590655	0.30282025	0.27518455	0.2169134	0.3257216	0.30661735	0.31469395	0.32118375	0.3199689	0.3023059
